Transcript,Label,Predicted Emotion,Mapped Value,speaker_id
"He's dreaming of him again, walking around.",0,Sad,2,937
Hi.  Thanks for waiting.,0,Neutral,0,937
Last month--  Yeah.,2,Neutral,0,937
"you going out somewhere, dear?",0,Neutral,0,937
Flight seven fourteen.,3,Neutral,0,937
Do they always run during a full moon?  I don't remember.  Was it full last year?,0,Neutral,0,937
It was at the slot machines.,1,Happy,1,937
This is a big night for these little guys.  It's like life's last orgy.,0,Neutral,0,937
"Well sure, from your mother's point of view.  Why else would I come?",0,Neutral,0,937
You're the only one who still loves his parents.,0,Neutral,0,937
"What is going on here, Joe?",3,Angry,3,937
"Augie, I'm sorry.",2,Sad,2,937
"But then I came home and it was incredible, you know?  The whole thing was just kind of this random bus accident.  You know, I went back to the rat race again, I went to work.",2,Neutral,0,937
I just don't see why it has to be you.,2,Neutral,0,937
I knew nothing of the sort.  You took presents from him.,0,Neutral,0,937
"Well as a matter of fact, yes, that's perfectly true.",0,Neutral,0,937
I kissed you.,1,Neutral,0,937
"About all of that, about all I was talking about.",1,Neutral,0,937
Like you need another one of those.[LAUGHTER],1,Neutral,0,937
Yeah.,0,Neutral,0,937
No.,0,Neutral,0,937
That's not your flashlight.,0,Neutral,0,937
"To save the environment, carpool.",0,Neutral,0,937
And I want lots and lots and lots of pictures.,2,Neutral,0,937
It's got that about it.,3,Neutral,0,937
Not like that you're not.,1,Neutral,0,937
Or not.,0,Neutral,0,937
"I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else.",2,Sad,2,937
I think I mentioned once before that I've had three minute liquor glasses the whole evening long.  A child of two cannot get drunk on that.,3,Angry,3,937
With the amount of--,0,Neutral,0,937
No.,2,Neutral,0,937
"[BREATHING] You know, it's lovely here.  The air is sweet.",0,Neutral,0,937
"What have I got to hide?  What the hell is the matter with you, Kate?",3,Angry,3,937
"Yes I did, quite a lot.",3,Angry,3,937
"No particular reason.  Anyhow, they are very small ones.",0,Neutral,0,937
"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",2,Neutral,0,937
"That was a rouser, wasn't it?",1,Happy,1,937
That's sweet.,0,Neutral,0,937
And very much sillier.,1,Neutral,0,937
About what?,0,Neutral,0,937
